date,time,name,symbol,current_price,historical_price
2024-11-01,15:14:56,Bitcoin,bitcoin,97244.0,70923.82801277052
2024-11-01,16:06:16,Bitcoin,bitcoin,97244.0,69345.35372545556
2024-11-01,17:02:35,Bitcoin,bitcoin,97244.0,69844.9093361785
2024-11-01,18:09:23,Bitcoin,bitcoin,97244.0,69503.6636049073
2024-11-01,19:21:28,Bitcoin,bitcoin,97244.0,69020.89099716532
2024-11-01,20:04:24,Bitcoin,bitcoin,97244.0,69284.71677804172
2024-11-01,21:19:49,Bitcoin,bitcoin,97244.0,69209.0988065412
2024-11-01,22:17:02,Bitcoin,bitcoin,97244.0,69384.28811999508
2024-11-01,23:18:09,Bitcoin,bitcoin,97244.0,69544.59650276595
2024-11-02,00:02:18,Bitcoin,bitcoin,97244.0,69473.056978763
2024-11-02,01:04:39,Bitcoin,bitcoin,97244.0,69662.79463761573
2024-11-02,02:09:30,Bitcoin,bitcoin,97244.0,69655.48607358806
2024-11-02,03:01:15,Bitcoin,bitcoin,97244.0,69642.32638674723
2024-11-02,04:02:49,Bitcoin,bitcoin,97244.0,69574.92942499154
2024-11-02,05:07:46,Bitcoin,bitcoin,97244.0,69430.40242682816
2024-11-02,06:11:46,Bitcoin,bitcoin,97244.0,69658.3822595126
2024-11-02,07:04:12,Bitcoin,bitcoin,97244.0,69728.32471611118
2024-11-02,08:20:33,Bitcoin,bitcoin,97244.0,69722.73091171448
2024-11-02,09:01:25,Bitcoin,bitcoin,97244.0,69624.21859828541
2024-11-02,10:20:08,Bitcoin,bitcoin,97244.0,69448.83294024071
2024-11-02,11:22:06,Bitcoin,bitcoin,97244.0,69607.56677909252
2024-11-02,12:11:33,Bitcoin,bitcoin,97244.0,69616.25877582343
2024-11-02,13:12:12,Bitcoin,bitcoin,97244.0,69475.82848467823
2024-11-02,14:08:09,Bitcoin,bitcoin,97244.0,69312.32127397711
2024-11-02,15:16:16,Bitcoin,bitcoin,97244.0,69183.82877819541
2024-11-02,16:05:49,Bitcoin,bitcoin,97244.0,69412.9332576336
2024-11-02,17:15:16,Bitcoin,bitcoin,97244.0,69519.99938972613
2024-11-02,18:19:12,Bitcoin,bitcoin,97244.0,69268.54156350248
2024-11-02,19:05:27,Bitcoin,bitcoin,97244.0,69413.3617711876
2024-11-02,20:15:30,Bitcoin,bitcoin,97244.0,69482.80313086542
2024-11-02,21:13:15,Bitcoin,bitcoin,97244.0,69459.2861779806
2024-11-02,22:09:30,Bitcoin,bitcoin,97244.0,69387.39205984579
2024-11-02,23:10:31,Bitcoin,bitcoin,97244.0,69258.7473726412
2024-11-03,00:21:23,Bitcoin,bitcoin,97244.0,69362.07666610858
2024-11-03,01:11:33,Bitcoin,bitcoin,97244.0,69123.04621984242
2024-11-03,02:06:00,Bitcoin,bitcoin,97244.0,68922.6957934696
2024-11-03,03:13:03,Bitcoin,bitcoin,97244.0,68339.87988613642
2024-11-03,04:05:00,Bitcoin,bitcoin,97244.0,68324.71891845985
2024-11-03,05:06:24,Bitcoin,bitcoin,97244.0,68573.7088243111
2024-11-03,06:05:47,Bitcoin,bitcoin,97244.0,68446.97493204614
2024-11-03,07:03:23,Bitcoin,bitcoin,97244.0,68549.87880698167
2024-11-03,08:03:51,Bitcoin,bitcoin,97244.0,68367.69327347612
2024-11-03,09:01:03,Bitcoin,bitcoin,97244.0,68450.37288501477
2024-11-03,10:05:30,Bitcoin,bitcoin,97244.0,68200.49111764514
2024-11-03,11:09:45,Bitcoin,bitcoin,97244.0,68373.76000281492
2024-11-03,12:10:10,Bitcoin,bitcoin,97244.0,68370.90018503387
2024-11-03,13:08:41,Bitcoin,bitcoin,97244.0,68390.71618098798
2024-11-03,14:19:06,Bitcoin,bitcoin,97244.0,68048.91908317909
2024-11-03,15:18:36,Bitcoin,bitcoin,97244.0,67719.13813560325
2024-11-03,16:02:49,Bitcoin,bitcoin,97244.0,68096.68332008435
2024-11-03,17:11:13,Bitcoin,bitcoin,97244.0,68439.14241616528
2024-11-03,18:04:39,Bitcoin,bitcoin,97244.0,68340.85707100407
2024-11-03,19:11:53,Bitcoin,bitcoin,97244.0,68313.76539011773
2024-11-03,20:19:06,Bitcoin,bitcoin,97244.0,68533.57811739066
2024-11-03,21:20:55,Bitcoin,bitcoin,97244.0,69102.91649492079
2024-11-03,22:05:46,Bitcoin,bitcoin,97244.0,69113.85653675799
2024-11-03,23:00:25,Bitcoin,bitcoin,97244.0,68910.25635002193
2024-11-04,00:05:32,Bitcoin,bitcoin,97244.0,68736.01833017307
2024-11-04,01:01:40,Bitcoin,bitcoin,97244.0,68593.94033671275
2024-11-04,02:17:43,Bitcoin,bitcoin,97244.0,68850.9066242415
2024-11-04,03:05:57,Bitcoin,bitcoin,97244.0,69317.98487239552
2024-11-04,04:02:27,Bitcoin,bitcoin,97244.0,68980.29446757899
2024-11-04,05:19:51,Bitcoin,bitcoin,97244.0,69077.44677984508
2024-11-04,06:14:30,Bitcoin,bitcoin,97244.0,68909.56966678747
2024-11-04,07:18:32,Bitcoin,bitcoin,97244.0,68985.50374870904
2024-11-04,08:18:50,Bitcoin,bitcoin,97244.0,68639.82285689418
2024-11-04,09:10:57,Bitcoin,bitcoin,97244.0,68816.40479951414
2024-11-04,10:09:51,Bitcoin,bitcoin,97244.0,68795.77488955649
2024-11-04,11:10:28,Bitcoin,bitcoin,97244.0,68634.09173414594
2024-11-04,12:13:47,Bitcoin,bitcoin,97244.0,68846.44085070644
2024-11-04,13:08:52,Bitcoin,bitcoin,97244.0,69021.33175867966
2024-11-04,14:11:19,Bitcoin,bitcoin,97244.0,68588.81574774935
2024-11-04,15:07:23,Bitcoin,bitcoin,97244.0,68369.51093993724
2024-11-04,16:09:13,Bitcoin,bitcoin,97244.0,68447.31631587596
2024-11-04,17:21:00,Bitcoin,bitcoin,97244.0,67502.47660613543
2024-11-04,18:10:36,Bitcoin,bitcoin,97244.0,67627.43829020744
2024-11-04,19:15:46,Bitcoin,bitcoin,97244.0,67939.35870942277
2024-11-04,20:09:10,Bitcoin,bitcoin,97244.0,67704.72935070655
2024-11-04,21:09:20,Bitcoin,bitcoin,97244.0,67393.7564421
2024-11-04,22:13:26,Bitcoin,bitcoin,97244.0,67568.50664501051
2024-11-04,23:18:37,Bitcoin,bitcoin,97244.0,67826.1359557712
2024-11-05,00:19:04,Bitcoin,bitcoin,97244.0,67924.02766135675
2024-11-05,01:17:54,Bitcoin,bitcoin,97244.0,67974.24898631287
2024-11-05,02:01:12,Bitcoin,bitcoin,97244.0,67931.88800999154
2024-11-05,03:02:01,Bitcoin,bitcoin,97244.0,67845.07318578624
2024-11-05,04:18:16,Bitcoin,bitcoin,97244.0,68328.4164233378
2024-11-05,05:06:44,Bitcoin,bitcoin,97244.0,68294.71262749047
2024-11-05,06:20:05,Bitcoin,bitcoin,97244.0,68558.36997760697
2024-11-05,07:07:03,Bitcoin,bitcoin,97244.0,68707.34384729121
2024-11-05,08:10:47,Bitcoin,bitcoin,97244.0,68967.05194821829
